"","X","Name","Date","Source","Text"
"79",79,"Anderson Cooper 360","March 14, 2022","Comcast Cable","war, do not believe propaganda, at the tell you lies here."" the woman who works for that channel was detained by police and left a video explaining her motives. [ speaking foreign language ]"
"81",81,"Anderson Cooper 360","April 29, 2022","","so i can't talk to his psychology, but i think we can all speak to his depravity. >> a whole lot in the hour ahead. reporting for us from washington, cnn's alex marquardt on the william cancel story, matt rivers and in the moldova capitol. >> reporter: the administration has not confirmed the death of william cancel, most of what we're learning coming from his mother. president biden did acknowledge cancel today saying it's very sad that he left a baby behind. what we do know from the cancel family is he was 22 years old, former marine. he felt this call to go and join the fight in ukraine. he had a wife, he left behind a 7-month-old child, had been working in tennessee as a corrections officer but his mother also says he joined a"
"104",104,"Anderson Cooper 360","April 27, 2022","Comcast Cable","perhaps something we needed to be reminded, which was this can happen anywhere. human beings can be brutal and venal and murderous and barbaric. you know, there's a sense in which, as you know, a lot of people outside the west ask, why are you so surprised? this has been happening in yemen or syria or places or afghanistan? well, the reason is europe was really founded on the idea that it was -- it had overcome these pathologies, you know, this murderous past. and, you know, it went through the worst of it in world war ii. and then we were reminded that uk have a very advanced, very civi civilized country -- so-called civilized country like germany -- which in many ways led the world in science and industry. and murderous acts. well, we're seeing it again. russia is a modern country. it's a relatively wealthy country."
"112",112,"Anderson Cooper 360","May 6, 2022","Comcast Cable","64 injured at the iconic hotel in havana cuba. a gas leak is expected to cause the massive explosion. it's a beautiful hotel. i stayed there when i covered president obama's historic visit in 2016. the hotel housed top officials and celebrities. it's an incredible tragedy and rescue crews are looking for survivors in the rubble this hour. thanks for joining us. ac 360 starts now.   we begin with a war and what the russians call liberation in a beautiful city called mariupol. russia says they have liberated it. this is what their liberation look likes. after more than 70 days of mis missiles, artillery, tanks, cutting off food and medicine from being sent in and stopping"
"139",139,"Anderson Cooper 360","March 16, 2022","Comcast Cable","return shen authorities. >> it is sick ening. >> will it change what the president is willing to provide the ukrainians? >> reporter: it doesn't seem like it because he labeled it at that for the first time after he laid out what a cities stance the u.s. will give to ukraine in the form of that $800 million today signing it in front of us that came hours after zelenskyy spoke calling for a no-fly zone. though zelenskyy seemed to indicate he understands it is not something they are going to get, certainly from the united states prompt positions there, but president biden saying vladimir putin is a war criminal is a shift from where he was. two weeks ago he said it was too early to say if he committed war crimes but things like what we saw with this bombing of the theater where people were sheltering and bombing of ma"
"142",142,"Anderson Cooper 360","March 2, 2022","Comcast Cable","have done nothing wrong. they are innocent, and they are now the victims of this war of choice by vladimir putin. that's the part that seems so unfair for all of them. >> well, international humanitarian law is very clear. it's the rules that govern conflicts and wars. civilians, essential infrastructures that are critical for their survival, i'm speaking medical facilities but also water companies, electricity companies, et cetera, must be safeguarded under international humanitarian law, and this applies to all parties concerned by what's going on right now in ukraine. >> they're the rules. i guess they just have to be followed by all sides, and we'll see what happens. thank you so much for being with us. please stay safe and thank you for what you're doing. >> thank you.   still to come, the massive russian military convoy heading to kyiv appears to have stalled. what the pentagon says could be"
"160",160,"Anderson Cooper 360","February 11, 2022","Comcast Cable","on the one hand there's dynamic still at play. >> a little more than a week ago the white house changed its wording of the russian invasion threat no longer using the word ""imminent."" so why are they now characterizing it so strongly again? yeah, that's right. earlier this month prospress secretary jen psaki took the podium and she said, look, we're not going to use the word imminent anymore because we don't want to wrongly suggest that we know whether putin has made a decision on whether to invade ukraine or not. to be clear what jake sullivan said today is actually the same thing he said on that point, that they still don't know whether putin has made a decision. but clearly the information tr they're trying to present today is one of increased urgency. one on the time line. now the intelligence is this kind of invasion could actually happen before the olympic games"
"178",178,"Anderson Cooper 360","January 18, 2022","Comcast Cable","attorney for kimberly guilfoyle who told us the subpoena is, quote, of no consequence to her because she has absolutely nothing to hide or to be concerned about. for the record, anderson, the committee declined to comment on the subpoenas. >> so, in your reporting, do you know why the committee's interested in kimberly guilfoyle and eric trump's phone records? >> so, we don't know yet. but it's my understanding the committee has made it a practice when it comes to issuing subpoenas, it's for a very specific reason. these are not just blanket requests for records. so as an example, there is no evidence that the committee reached out for call records for trump's other children, don jr., ivanka, or his son-in-law jared kushner. and just for context, i want to explain a call detail record -- we reported on this in the fall -- or a cdr. this gives the committee a phone log of the date, time, and length of incoming and outgoing calls."
"217",217,"Anderson Cooper 360","March 2, 2022","Comcast Cable","ukrainian civilians are confirmed dead, though the real toll is likely much higher. at one point more than 2,000 civilians were said to have been killed but later backtracked on that. the russian military denies targeting civilians and says designated evacuation corridors have been mapped out. russia's increasingly fierce attacks continue to be met with a brave, determined ukrainian resi resistance. many now wonder how much longer can the ukrainians hold out against the full might of the russian military. >> reporter: russia's assault on ukraine continues without mercy. this is what's left of a university in kharkiv, the country's second city, amid a pounding of civilian areas. in the port city of mariupol"
"237",237,"Anderson Cooper 360","March 9, 2022","Comcast Cable","live that long, of course. so, i don't want to leave, and we will be moving to somewhere just further away from russian border. i don't know why, but being bombarded is easier than leaving your home. >> family tonight part of what the u.n. estimates are 1.8 million internally displaced people within ukraine. that's on top of the 2 million people who have already left ukraine and become refugees. more now on how some of those internally displaced people spent today from cnn's matthew chance. >> reporter: in the chaos of this evacuation, the frantic search for a lost child. in the rush to escape the fighting, an orphan has been left behind. each bus desperaticely checked r"
