"","X","Name","Date","Network","Text"
"18",18,"Tucker Carlson Tonight","February 24, 2022","","thing you know you have many thousands dead. now that shooting started in the ukraine it's impossible that americans could wind up getting hurt in eastern europe. we should prevent that but it would require wisdom and emotional control. all of which are never in abundant supply in washington. everyone is upset. mark warner the head of the senate intelligence committee announced that russia could be close to triggering what is known as article-5 of the nato alliance. if russia launches a cyber attack then every nato country"
"19",19,"Tucker Carlson Tonight","October 5, 2022","","you can't be. because in a democracy, the government has a moral and legal obligation to tell you the truth, always. period. and that makes sense because in a democracy, you are not a subject or a mere consumer, you're a citizen. you are a shareholder in the system. you are an owner of it. the people who run your government are your employees. they're like your cleaning lady. you may appreciate the work they do, good job, but the minute you catch them stealing your cuff links, you fire them. those are the rules because it's your house, not theirs. but what if the rules were inverted? what if you caught an employee stealing but instead of seeming ashamed and pen tant, he ripped around and attacked you like you were the criminal? well, that is the experience of watching white house spokesman john kirby talking about the destruction of the north stream pipelines. anyone who think that the biden administration was in any way involved with that sabotage,"
"29",29,"Tucker Carlson Tonight","February 4, 2022","","citizens. putin will use actors to portray ukrainian soldiers and intel operatives committing atrocities against russians. then he's going to videotape the whole thing and secretly release it to the world when people in the west see the clips of that onip facebook, they'll understand why putin was justifieder in invading ukraine. so it's a psyop that was the claim. pretty diabolical. but you may be wondering how exactly do we knowng that vladimir putin is actually planning to do something likee this ? because in real life the global intelligence world is a very complicated place. people in it rarely tell straightforward truths so actually if you were devising propaganda for the ukrainian governmenting, this might be exactly the kind of story you would place in the new times, which of course is compliant there on your side story likee this would give you a way to plausibly deny attacking russian citizens. is that what happened here? we don't know. we have no idea if the new york times account is true or not. then again, neither does"
"67",67,"Tucker Carlson Tonight","March 7, 2022","","the same time. and i am here today to say together we all are doing just that. >> tucker: so this is someone who knows nothing about energy which is very complicated, nothing about economics which is pretty complicated, never built a single thing and her entire life. only been a parasite on our political system. that is it. and she is telling us she is in charge of our energy grid and how you live day-to-day. the single most important factor of the societies is where energy comes from. and now kamala harris has decided she is in charge of it and need steer a mission. if you're concerned about the outcome of the two things you look to immediately our natural gas which is a low emitting energy source and nuclear which is a nonemitting energy source. both of which are being ignored completely by the administration. why is that? if they cared about climate change would be all in on gas and nuclear."
"87",87,"Tucker Carlson Tonight","October 3, 2022","","vladimir putin before he could launch those 6,000 odd missiles against the united states or any other country. where would that leave russia, the country he controls? russia is not a rock. russia represents an eighth of the world's total land mass. it is a huge country and a highly fracious country with a large muslim population. what are the chances that in the ensuing chaos, which we are forcing on russia, in that chaos, what are the chances that one those 6200 nuclear weapons might wind up in the hands of someone who is truly crazy and dangerous to us and to the world? well, let's see. what happened to saddam hussein's stockpiles of conventional weapons after american forces captured saddam hussein ? lots of americans died and the country split apart. multiple that outcome times infinity, and you understand what our leaders are proposing"
"90",90,"Tucker Carlson Tonight","February 25, 2022","","and control is still intact, population centers have so far been taken. russia has not knocked out ukrainian air and missile defenses, so it gives -- you wonder if the russians are somewhat concerned about this or if they had planned this, or -- because it is certainly a surprise some of the intelligence officials in britain and in the united states. >> we have this saying in the army no combat plan survives first contact. all kinds of things happened that are different than the play and you have to flex off of that. the expectation is that things are not going well because this is the first time the most of these russian troops have actually been in combat. they have been all these exercises where everything can go according to a script and now they're having to learn on the fly. you know, people are dying and things are getting grown up and they have to flex off of that, replace people on the march,"
"91",91,"Tucker Carlson Tonight","September 30, 2022","","response he's got to escalate the military operation. people aren't aware of it in the west, but the russian forces in ukraine have always been outnumbered from the day they entered ukraine. that's going to change rather than dramatically. i suspect the bombers that you referred to, who carry both conventional or nuclear weapons, will have conventional arms, and those bombers are probably going to be used in the escalation we're about to witness in ukraine. i think he's going to settle this dispute in ukraine on terms that are acceptable to russia that we may not like. other than poland, no one in nato is interested in going to war with russia. if we persist on this line, we will see nato dissolve and fragment. >> will: because you're saying they will not follow poland's lead, not stand to together. i assume that's what you're saying, colonel? >> of course, absolutely. no one wants to go to war with russia, other than the poles and"
"111",111,"Tucker Carlson Tonight","February 23, 2022","","when you look at the way that people reacted to a perceived shortage of fuel. there is no fuel shortage. we had people filling up gas tanks and plastic bags with gas in fact i saw study that came out today it was done at said, there are people who say 55% of the people to be interviewed they cannot go for a day without their smartphone, i think 3-10 set up their battery starts running out and creates excessive anxiety. you mention what happens if you can power up your phone for a day? some the actual things that happen come and overtired about people are so addicted to social media and technology that they actually got anxiety because they don't have the phone or the phones about them or not a battery power, does not place to charge it. so i think the only if they thing, will the consumers. >> we saw back in a pandemic, the beginning of the pandemic will people to go when and by armfuls of toilet paper paper"
"112",112,"Tucker Carlson Tonight","February 28, 2022","","what will be left of ukraine? how are we sure putin won't go nuclear? and then, what will china's role in this war be? thanks to the effort of the biden administration china is vladimir putin's strongest ally. china signed a long-term did energy deal with russia. they have skin in the game am how sure are we that the chinese will stay out of a war? how do we know they won't take down to our digital infrastructure which they control in this country. reporters are not asking that. asking questions is immoral. richard is demanding that american troops fight the russian army. a massive russian convoy is 30"
"117",117,"Tucker Carlson Tonight","February 4, 2022","",">> i just delivered it. >> you made a series of allegations. >> tucker: one correction, alex jones lies far left and is far more critical dell not credible then ned price is. matt lee persistently called him out. ned price ran out of b.s. the b.s. barrel was empty. so why do that? what did ned price do then? ned price did what they all do when they are cornered. he went right to the lowest personal attack. he didn't call matt lee racist, he's probably saving up for next week. he said he's more sympathetic to russia than he has to the united states. he may be a shill for vladimir putin. watch. >> if you doubt the credibility of the u.s. government, the british government, of other governments and want to find solace and information that the russians are putting out, that is for you to do."
